id:	name:*	imono:	description:	probablecauses:	systemxid:*	systemname:	isvesselalert:	isactive:	alerttype:	alertpriorityxid:*	alertpriority:	delay:*	lastdelay:*	companyxid:	createddate:	formulastring:	uiformulastructure:*	createdbyid:	createdby:	usertype:	modifiedby:	modifieddate:	isshore:	Edit:	Delete:	categoryCssClass:	select:	alertroleModel
3030	0a7LxZKA_AG_HTD_RUDDER_ANGLE		Sample Description Robot	Sample	1	Hull And Cargo	FALSE	TRUE	TECH	1	Critical            	10	5	1	12/14/2017	AG_HTD_RUDDER_ANGLE>5	"tag:AG_HTD_RUDDER_ANGLE,op:>,num:5"	996	Fleet Manager	Admin		2017-12-13T20:25:35.553Z	TRUE	TRUE	TRUE	fa table-alert-icon critical	FALSE	"[{""name"":""Admin"",""enforce"":true,""role"":true,""ack"":false}]"
3165	0bpZbZtp_AG_HTD_RUDDER_ANGLE		Sample Description Robot	Sample	1	Hull And Cargo	FALSE	TRUE	OPRN	1	Critical            	10	5	1	12/19/2017	AG_HTD_RUDDER_ANGLE>5	"tag:AG_HTD_RUDDER_ANGLE,op:>,num:5"	742	sajan	Admin		2017-12-19T05:07:28.096Z	TRUE	TRUE	TRUE	fa table-alert-icon critical	FALSE	"[{""name"":""Admin"",""enforce"":true,""role"":true,""ack"":true}]"
3197	1.UploadToCheckAlertType		ME		3	Engine And Machinery	FALSE	TRUE	TECH	1	Critical            	60	300	1	12/20/2017	ME_RPM>280	"tag:ME_RPM,op:>,num:2,num:8,num:0"	996	Fleet Manager	Admin		2017-12-19T22:58:42.756Z	TRUE	TRUE	TRUE	fa table-alert-icon critical	FALSE	[]
3198	2.UploadToCheckAlertType		Rudder		2	Navigational System	FALSE	TRUE	TECH	2	High                	5	30	1	12/20/2017	AG_HTD_RUDDER_ANGLE>15	"tag:AG_HTD_RUDDER_ANGLE,op:>,num:1,num:5"	996	Fleet Manager	Admin		2017-12-19T22:58:42.763Z	TRUE	TRUE	TRUE	fa table-alert-icon high	FALSE	[]
3199	3.UploadToCheckAlertType		Autopilot		2	Navigational System	FALSE	TRUE	TECH	2	High                	30	30	1	12/20/2017	AG_HTD_RUDDER_ANGLE<45	"tag:AG_HTD_RUDDER_ANGLE,op:<,num:4,num:5"	996	Fleet Manager	Admin		2017-12-19T22:58:42.764Z	TRUE	TRUE	TRUE	fa table-alert-icon high	FALSE	[]
3200	4.UploadToCheckAlertType		GDS		1	Hull And Cargo	FALSE	TRUE	TECH	1	Critical            	20	30	1	12/20/2017	GDS_COMMUNICATION_FAIL<1	"tag:GDS_COMMUNICATION_FAIL,op:<,num:1"	996	Fleet Manager	Admin		2017-12-19T22:58:42.765Z	TRUE	TRUE	TRUE	fa table-alert-icon critical	FALSE	[]
3203	7.UploadToCheckAlertType	 	ECA Alert	NA	4	Decision Support System	FALSE	TRUE	TECH	4	Low                 	0	0	1	12/20/2017			996	Fleet Manager	Admin		2017-12-19T22:58:42.868Z	TRUE	TRUE	TRUE	fa table-alert-icon low	FALSE	[]
3204	8.UploadToCheckAlertType		Description goes here		4	Decision Support System	FALSE	TRUE	TECH	3	Medium              	10	300	1	12/20/2017	ME_RPM>1	"tag:ME_RPM,op:>,num:1"	996	Fleet Manager	Admin		2017-12-19T22:58:42.870Z	TRUE	TRUE	TRUE	fa table-alert-icon medium	FALSE	"[{""name"":""Fleet Manager"",""enforce"":true,""role"":true,""ack"":false}]"
3205	9.UploadToCheckAlertType		Sample Description Robot	Sample	1	Hull And Cargo	FALSE	TRUE	TECH	1	Critical            	10	5	1	12/20/2017	AG_HTD_RUDDER_ANGLE>5	"tag:AG_HTD_RUDDER_ANGLE,op:>,num:5"	996	Fleet Manager	Admin		2017-12-19T22:58:42.958Z	TRUE	TRUE	TRUE	fa table-alert-icon critical	FALSE	"[{""name"":""Admin"",""enforce"":true,""role"":true,""ack"":false}]"
3169	Alert- ME_RPM High- Felix		ME		3	Engine And Machinery	FALSE	TRUE	TECH	1	Critical            	60	300	1	12/19/2017	ME_RPM>280	"tag:ME_RPM,op:>,num:2,num:8,num:0"	737	felix	Admin	737	2017-12-19T06:31:15.370Z	TRUE	TRUE	TRUE	fa table-alert-icon critical	FALSE	[]
